c 75398 76312
p cnf 39 258
1 0
2 0
3 0
-4 0
-5 0
-6 0
-7 0
-8 0
-9 0
-10 11 0
-10 1 0
-12 13 0
-12 2 0
-14 15 0
-14 3 0
-16 17 0
-16 4 0
-18 19 0
-18 5 0
-20 21 0
-20 6 0
-10 1 -22 0
-10 -1 22 0
-10 2 -23 0
-10 -2 23 0
-10 3 -24 0
-10 -3 24 0
-10 5 -13 0
-10 -5 13 0
-10 6 -15 0
-10 -6 15 0
-10 7 -17 0
-10 -7 17 0
-10 8 -19 0
-10 -8 19 0
-10 9 -21 0
-10 -9 21 0
-12 1 -22 0
-12 -1 22 0
-12 2 -23 0
-12 -2 23 0
-12 3 -24 0
-12 -3 24 0
-12 4 -11 0
-12 -4 11 0
-12 6 -15 0
-12 -6 15 0
-12 7 -17 0
-12 -7 17 0
-12 8 -19 0
-12 -8 19 0
-12 9 -21 0
-12 -9 21 0
-14 1 -22 0
-14 -1 22 0
-14 2 -23 0
-14 -2 23 0
-14 3 -24 0
-14 -3 24 0
-14 4 -11 0
-14 -4 11 0
-14 5 -13 0
-14 -5 13 0
-14 7 -17 0
-14 -7 17 0
-14 8 -19 0
-14 -8 19 0
-14 9 -21 0
-14 -9 21 0
-16 1 -22 0
-16 -1 22 0
-16 2 -23 0
-16 -2 23 0
-16 3 -24 0
-16 -3 24 0
-16 4 -11 0
-16 -4 11 0
-16 5 -13 0
-16 -5 13 0
-16 6 -15 0
-16 -6 15 0
-16 8 -19 0
-16 -8 19 0
-16 9 -21 0
-16 -9 21 0
-18 1 -22 0
-18 -1 22 0
-18 2 -23 0
-18 -2 23 0
-18 3 -24 0
-18 -3 24 0
-18 4 -11 0
-18 -4 11 0
-18 5 -13 0
-18 -5 13 0
-18 6 -15 0
-18 -6 15 0
-18 7 -17 0
-18 -7 17 0
-18 9 -21 0
-18 -9 21 0
-20 1 -22 0
-20 -1 22 0
-20 2 -23 0
-20 -2 23 0
-20 3 -24 0
-20 -3 24 0
-20 4 -11 0
-20 -4 11 0
-20 5 -13 0
-20 -5 13 0
-20 6 -15 0
-20 -6 15 0
-20 7 -17 0
-20 -7 17 0
-20 8 -19 0
-20 -8 19 0
10 12 14 16 18 20 0
-12 -10 0
-14 -10 0
-16 -10 0
-18 -10 0
-20 -10 0
-14 -12 0
-16 -12 0
-18 -12 0
-20 -12 0
-16 -14 0
-18 -14 0
-20 -14 0
-18 -16 0
-20 -16 0
-20 -18 0
-25 26 0
-25 22 0
-27 28 0
-27 23 0
-29 30 0
-29 24 0
-31 32 0
-31 11 0
-33 34 0
-33 13 0
-35 36 0
-35 15 0
-25 22 -37 0
-25 -22 37 0
-25 23 -38 0
-25 -23 38 0
-25 24 -39 0
-25 -24 39 0
-25 13 -28 0
-25 -13 28 0
-25 15 -30 0
-25 -15 30 0
-25 17 -32 0
-25 -17 32 0
-25 19 -34 0
-25 -19 34 0
-25 21 -36 0
-25 -21 36 0
-27 22 -37 0
-27 -22 37 0
-27 23 -38 0
-27 -23 38 0
-27 24 -39 0
-27 -24 39 0
-27 11 -26 0
-27 -11 26 0
-27 15 -30 0
-27 -15 30 0
-27 17 -32 0
-27 -17 32 0
-27 19 -34 0
-27 -19 34 0
-27 21 -36 0
-27 -21 36 0
-29 22 -37 0
-29 -22 37 0
-29 23 -38 0
-29 -23 38 0
-29 24 -39 0
-29 -24 39 0
-29 11 -26 0
-29 -11 26 0
-29 13 -28 0
-29 -13 28 0
-29 17 -32 0
-29 -17 32 0
-29 19 -34 0
-29 -19 34 0
-29 21 -36 0
-29 -21 36 0
-31 22 -37 0
-31 -22 37 0
-31 23 -38 0
-31 -23 38 0
-31 24 -39 0
-31 -24 39 0
-31 11 -26 0
-31 -11 26 0
-31 13 -28 0
-31 -13 28 0
-31 15 -30 0
-31 -15 30 0
-31 19 -34 0
-31 -19 34 0
-31 21 -36 0
-31 -21 36 0
-33 22 -37 0
-33 -22 37 0
-33 23 -38 0
-33 -23 38 0
-33 24 -39 0
-33 -24 39 0
-33 11 -26 0
-33 -11 26 0
-33 13 -28 0
-33 -13 28 0
-33 15 -30 0
-33 -15 30 0
-33 17 -32 0
-33 -17 32 0
-33 21 -36 0
-33 -21 36 0
-35 22 -37 0
-35 -22 37 0
-35 23 -38 0
-35 -23 38 0
-35 24 -39 0
-35 -24 39 0
-35 11 -26 0
-35 -11 26 0
-35 13 -28 0
-35 -13 28 0
-35 15 -30 0
-35 -15 30 0
-35 17 -32 0
-35 -17 32 0
-35 19 -34 0
-35 -19 34 0
25 27 29 31 33 35 0
-27 -25 0
-29 -25 0
-31 -25 0
-33 -25 0
-35 -25 0
-29 -27 0
-31 -27 0
-33 -27 0
-35 -27 0
-31 -29 0
-33 -29 0
-35 -29 0
-33 -31 0
-35 -31 0
-35 -33 0
34 0
